ID,Author,Group,Year,Focal_insect,Focal_insect_resolved_name,F_Guild,Focal_insect_diet_breadth,Competing_insect,Competing_insect_resolved_name,C_Guild,Competing_insect_diet_breadth,Host_plant,Phylogenetic_distance_between_focal_insect_and_competing_insect,Spatial_separation,temporal_separation,Fitness_component,Control_mean,Control_standard_error,Control_standard_deviation,Control_sample_size,Experimental_mean,Experimental_standard_error,Experimental_standard_deviation,Experimental_sample_size,yi_g,vi
794,Inbar_1,Inbar,1999,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,NA,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Lycopersicon esculentum,NA,no separation,complete,Abundance,0.123,0.21,1.242376755,35,0.8,0.9,5.324471805,35,-0.173172045,0.057357061
795,Inbar_1,Inbar,1999,Liriomyza_trifolii,"Liriomyza trifolii Burgess, 1880",Internal_feeder,29,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Lycopersicon esculentum,NA,no separation,complete,Abundance,0.241,0.303,1.792572174,35,0.091,0.111,0.656684856,35,0.109887123,0.057229108
796,Inbar_2,Inbar,1999,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Brassica oleracea,NA,spatial separation,complete,Survival,22.8,NA,NA,30,24,NA,NA,30,0.141584758,0.14364807
797,Inbar_2,Inbar,1999,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Brassica oleracea,NA,spatial separation,complete,Body_size,275,80,383.6665219,23,294,80,391.9183588,24,-0.048159254,0.085169601
798,Inbar_2,Inbar,1999,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Brassica oleracea,NA,spatial separation,complete,RGR,0.28,0.009,0.043162484,23,0.23,0.004,0.019595918,24,1.477528371,0.10836929
799,Inbar_2,Inbar,1999,Trichoplusia_ni,"Trichoplusia ni Hübner, 1802",Chewer,27,Bemisia_argentifolii,"Bemisia argentifolii Bellows & Perring, 1994",Sucker,Not found,Brassica oleracea,NA,spatial separation,complete,Development_time,-12,0.11,0.527541468,23,-14.5,0.49,1.469693846,24,2.20735284,0.13697904
800,Inbar_3,Inbar,1995,Forda_formicaria,"Forda formicaria von Heyden, 1837",Internal_feeder,NA,Geoica_sp.,NA,Sucker,Not found,Pistacia palaestina,NA,no separation,no separation,Survival,12.012,NA,NA,78,47.9985,NA,NA,55,2.199158852,0.096258907
801,Joern,Joern,1993,Ageneotettix_deorum,"Ageneotettix deorum (Scudder, S.H., 1876)",Chewer,1,Ageneotettix_deorum,"Ageneotettix deorum (Scudder, S.H., 1876)",Chewer,1,grasses,0,no separation,no separation,Fecundity,2,0.26,0.581377674,5,1.41,0.82,1.833575742,5,0.391571607,0.407666416
802,Joern,Joern,1993,Ageneotettix_deorum,"Ageneotettix deorum (Scudder, S.H., 1876)",Chewer,1,Ageneotettix_deorum,"Ageneotettix deorum (Scudder, S.H., 1876)",Chewer,1,grasses,0,no separation,no separation,Abundance,2,0.26,0.581377674,5,0.393,0.232,0.518767771,5,2.632925987,0.746614963
803,Joern,Joern,1993,Ageneotettix_deorum,"Ageneotettix deorum (Scudder, S.H., 1876)",Chewer,1,Amphitornus_coloradus,"Amphitornus coloradus (Thomas, C., 1873)",Chewer,Not found,grasses,124.005976,no separation,no separation,Abundance,2,0.26,0.581377674,5,1.4,0.6,1.341640787,5,0.523850598,0.413720972
804,Joern,Joern,1993,Ageneotettix_deorum,"Ageneotettix deorum (Scudder, S.H., 1876)",Chewer,1,Amphitornus_coloradus,"Amphitornus coloradus (Thomas, C., 1873)",Chewer,Not found,grasses,124.005976,no separation,no separation,Abundance,1.41,0.82,1.833575742,5,1.4,0.6,1.341640787,5,0.005618897,0.400001579
805,Joern,Joern,1993,Amphitornus_coloradus,"Amphitornus coloradus (Thomas, C., 1873)",Chewer,NA,Amphitornus_coloradus,"Amphitornus coloradus (Thomas, C., 1873)",Chewer,Not found,grasses,0,no separation,no separation,Fecundity,2.6,0.22,0.491934955,5,0.993,9.107,20.36387107,5,0.10071378,0.400507163
806,Joern,Joern,1993,Amphitornus_coloradus,"Amphitornus coloradus (Thomas, C., 1873)",Chewer,NA,Amphitornus_coloradus,"Amphitornus coloradus (Thomas, C., 1873)",Chewer,Not found,grasses,0,no separation,no separation,Abundance,2.6,0.22,0.491934955,5,0,0,0,5,6.747233022,2.676257673
